OBJECTID,SCHOOL_ID,SCHOOLDIST,POLYTYPE,PRIMARYPOL,USERNAME,UPDATE_,EDITED,EACODE,District2,Inst_ID,SchDist,SEDdir_BOC,SEDdir_B_1,SED_CODE_1,POPULAR_NA,INSTPECD,INSTSUBYPE,INSSUBDE,MUNICODE,SDLCODE,ORPTSCOD_1,Shape__Area,Shape__Length
530,531,SCHOHARIE,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,434201,SCHOHARIE,8E+11,SCHOHARIE,190,BOCES CAPITAL REGION,5.41201E+11,SCHOHARIE CSD,16,4,CENTRAL,4.30775E+11,541201,434201,2420.316162,258.1767648
531,532,LIVONIA,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,243401,LIVONIA,8E+11,LIVONIA,2490,BOCES GENESEE VALLEY,2.40801E+11,LIVONIA CSD,16,7,INDEPENDENT CENTRAL,2.40648E+11,240801,243401,163286.874,1820.134085
532,533,LIVONIA,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,243401,LIVONIA,8E+11,LIVONIA,2490,BOCES GENESEE VALLEY,2.40801E+11,LIVONIA CSD,16,7,INDEPENDENT CENTRAL,2.40648E+11,240801,243401,36376.86865,804.4764828
533,534,LETCHWORTH,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,562601,LETCHWORTH,8E+11,LETCHWORTH,2490,BOCES GENESEE VALLEY,6.70401E+11,LETCHWORTH CSD,16,4,CENTRAL,5.60713E+11,670401,562601,55944.78247,1283.983921
534,535,ALBANY,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,10100,ALBANY,8E+11,ALBANY,190,BOCES CAPITAL REGION,10100010000,ALBANY CITY SD,16,1,CITY,10501000000,10100,10100,56944606,52143.41507
535,536,DANSVILLE,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,243801,DANSVILLE,8E+11,DANSVILLE,2490,BOCES GENESEE VALLEY,2.41001E+11,DANSVILLE CSD,16,7,INDEPENDENT CENTRAL,2.40659E+11,241001,243801,322186109.9,132334.9929
536,537,BERNE-KNOX-WESTERLO,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,12001,BERNE KNOX,8E+11,BERNE KNOX,190,BOCES CAPITAL REGION,10201040000,BERNE-KNOX-WESTERLO CSD,16,4,CENTRAL,10706800100,10201,12001,323703117.5,143857.7526
537,538,AVERILL PARK,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,384001,AVERILL PARK,8E+11,AVERILL PARK,4990,BOCES QUESTAR III (R-C-G),4.91302E+11,AVERILL PARK CSD,16,7,INDEPENDENT CENTRAL,3.80674E+11,491302,384001,267442985,149974.3964
538,539,WAYLAND,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,467401,WAYLAND-COHOCTON,8E+11,WAYLAND-COHOCTON,2490,BOCES GENESEE VALLEY,5.73002E+11,WAYLAND-COHOCTON CSD,16,4,CENTRAL,4.60788E+11,573002,467401,406392755.9,153200.9321
539,540,SOUTH SENECA,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,452801,SOUTH SENECA,8E+11,SOUTH SENECA,6190,BOCES TOMPKINS-SENECA-TIOGA,5.60501E+11,SOUTH SENECA CSD,16,4,CENTRAL,4.50763E+11,560501,452801,338528297,102310.9259
540,541,WATERVLIET,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,11800,WATERVLIET,8E+11,WATERVLIET,190,BOCES CAPITAL REGION,11200010000,WATERVLIET CITY SD,16,1,CITY,10560000000,11200,11800,5436141.401,12118.37816
541,542,LETCHWORTH,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,562601,LETCHWORTH,8E+11,LETCHWORTH,2490,BOCES GENESEE VALLEY,6.70401E+11,LETCHWORTH CSD,16,4,CENTRAL,5.60713E+11,670401,562601,352785614.2,143751.4525
542,543,SPRINGVILLE-GRIFFITH,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,143801,SPRINGVILLE-GRIFF,8E+11,SPRINGVILLE-GRIFF,1492,BOCES ERIE 2-CHAUTAUQUA-CATTARAUGUS,1.41101E+11,SPRINGVILLE-GRIFFITH INST CSD,16,7,INDEPENDENT CENTRAL,1.40619E+11,141101,143801,364278759.5,183322.1465
543,544,UNADILLA VALLEY,DTM ONLY,Y,unknown,6/14/1996 0:00,KATE,83803,UNADILLA VALLEY,8E+11,UNADILLA VALLEY,1290,BOCES DELAW-CHENANGO-MADISON-OTSEGO,81003040000,UNADILLA VALLEY CSD,16,4,CENTRAL,80756700100,81003,83803,323195224.3,170001.8838
544,545,EAST AURORA,DTM ONLY,Y, ,8/22/2001 0:00, ,142401,EAST AURORA,8E+11,EAST AURORA,1492,BOCES ERIE 2-CHAUTAUQUA-CATTARAUGUS,1.40301E+11,EAST AURORA UFSD,16,3,INDEPENDENT UNION FREE,1.40604E+11,140301,142401,2079.970032,197.4704149
545,546,EDEN,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,144001,EDEN,8E+11,EDEN,1492,BOCES ERIE 2-CHAUTAUQUA-CATTARAUGUS,1.41201E+11,EDEN CSD,16,7,INDEPENDENT CENTRAL,1.40625E+11,141201,144001,174472439.5,85338.0687
546,547,GUILDERLAND,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,13002,GUILDERLAND,8E+11,GUILDERLAND,190,BOCES CAPITAL REGION,10802060000,GUILDERLAND CSD,16,7,INDEPENDENT CENTRAL,10635500200,10802,13002,123275956.9,94640.12524
547,548,MAPLEWOOD,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,12622,NORTH COLONIE CSD,8E+11,NORTH COLONIE CSD,190,BOCES CAPITAL REGION,10623060000,NORTH COLONIE CSD,16,7,INDEPENDENT CENTRAL,10618700700,10623,12605,79733914.14,58500.47545
548,549,GREEN ISLAND,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,12801,GREEN ISLAND,8E+11,GREEN ISLAND,190,BOCES CAPITAL REGION,10701030000,GREEN ISLAND UFSD,16,3,INDEPENDENT UNION FREE,10634500100,10701,12801,2414782.607,7960.759947
549,550,TROY,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,381700,TROY,8E+11,TROY,4990,BOCES QUESTAR III (R-C-G),4.917E+11,TROY CITY SD,16,1,CITY,3.80557E+11,491700,381700,27727477.07,28558.37218
550,551,ATTICA,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,562201,ATTICA,8E+11,ATTICA,2490,BOCES GENESEE VALLEY,6.70201E+11,ATTICA CSD,16,7,INDEPENDENT CENTRAL,5.60604E+11,670201,562201,127917.0203,1630.280395
551,552,CANAJOHARIE,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,272201,CANAJOHARIE,8E+11,CANAJOHARIE,2090,BOCES HAMILTON-FULTON-MONTGOMERY,2.70301E+11,CANAJOHARIE CSD,16,4,CENTRAL,2.70712E+11,270301,272201,10187.10352,522.5448309
